,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,0.03451180458068848,0.009515762329101562,0.1350175142288208,0.006027102470397949,1,{'clf__n_neighbors': 1},0.9252136752136753,0.9237891737891738,0.9245014245014245,0.0007122507122507282,1,1.0,1.0,1.0,0.0
1,0.023009300231933594,2.384185791015625e-07,0.1275177001953125,0.004519224166870117,2,{'clf__n_neighbors': 2},0.8995726495726496,0.8974358974358975,0.8985042735042735,0.0010683760683760646,2,0.9729344729344729,0.9707977207977208,0.9718660968660968,0.0010683760683760646
2,0.023003339767456055,0.0010025501251220703,0.13556945323944092,0.008524060249328613,3,{'clf__n_neighbors': 3},0.896011396011396,0.8810541310541311,0.8885327635327636,0.007478632478632452,3,0.9629629629629629,0.9572649572649573,0.9601139601139601,0.002849002849002802
3,0.04553413391113281,0.0005140304565429688,0.1626681089401245,0.005241751670837402,4,{'clf__n_neighbors': 4},0.8867521367521367,0.8696581196581197,0.8782051282051282,0.008547008547008517,4,0.9494301994301995,0.9437321937321937,0.9465811965811965,0.0028490028490028574
