,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,3.970846176147461,0.38501548767089844,1.429770827293396,0.038158535957336426,0.1,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8269230769230769,0.8475783475783476,0.8372507122507122,0.010327635327635365,4,0.8853276353276354,0.915954415954416,0.9006410256410257,0.015313390313390296
1,5.504260897636414,0.2056487798690796,1.9868015050888062,0.017727017402648926,0.1,1.0,"{'clf__C': 0.1, 'clf__gamma': 1.0}",0.15455840455840456,0.16096866096866097,0.15776353276353278,0.003205128205128208,8,1.0,1.0,1.0,0.0
2,5.646221041679382,1.1562813520431519,2.224013566970825,0.3463857173919678,0.1,100.0,"{'clf__C': 0.1, 'clf__gamma': 100.0}",0.1168091168091168,0.12037037037037036,0.11858974358974358,0.001780626780626779,12,1.0,1.0,1.0,0.0
3,3.8358551263809204,0.022471308708190918,1.0432153940200806,0.08191883563995361,1,0.01,"{'clf__C': 1, 'clf__gamma': 0.01}",0.9814814814814815,0.9729344729344729,0.9772079772079771,0.004273504273504314,3,1.0,1.0,1.0,0.0
4,7.790919184684753,1.4418278932571411,1.786149263381958,0.23596882820129395,1,1.0,"{'clf__C': 1, 'clf__gamma': 1.0}",0.18304843304843305,0.18874643874643873,0.1858974358974359,0.0028490028490028435,7,1.0,1.0,1.0,0.0
5,9.554777383804321,0.11603474617004395,1.5737476348876953,0.010435819625854492,1,100.0,"{'clf__C': 1, 'clf__gamma': 100.0}",0.14743589743589744,0.14245014245014245,0.14494301994301995,0.0024928774928774933,9,1.0,1.0,1.0,0.0
6,6.419283390045166,0.03334951400756836,1.3811817169189453,0.00585627555847168,10,0.01,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9821937321937322,0.9764957264957265,0.9793447293447293,0.0028490028490028574,1,1.0,1.0,1.0,0.0
7,9.09666657447815,0.27884840965270996,1.5681096315383911,0.08409559726715088,10,1.0,"{'clf__C': 10, 'clf__gamma': 1.0}",0.1915954415954416,0.198005698005698,0.1948005698005698,0.003205128205128208,5,1.0,1.0,1.0,0.0
8,9.08597218990326,0.008128762245178223,1.5297759771347046,0.04135406017303467,10,100.0,"{'clf__C': 10, 'clf__gamma': 100.0}",0.14743589743589744,0.14245014245014245,0.14494301994301995,0.0024928774928774933,9,1.0,1.0,1.0,0.0
9,5.792234420776367,0.012102603912353516,1.3547768592834473,0.003792285919189453,100,0.01,"{'clf__C': 100, 'clf__gamma': 0.01}",0.9821937321937322,0.9764957264957265,0.9793447293447293,0.0028490028490028574,1,1.0,1.0,1.0,0.0
10,8.072888731956482,0.14872682094573975,1.2301335334777832,0.2218644618988037,100,1.0,"{'clf__C': 100, 'clf__gamma': 1.0}",0.1915954415954416,0.198005698005698,0.1948005698005698,0.003205128205128208,5,1.0,1.0,1.0,0.0
11,7.736095070838928,0.2705310583114624,0.6084164381027222,0.11968648433685303,100,100.0,"{'clf__C': 100, 'clf__gamma': 100.0}",0.14743589743589744,0.14245014245014245,0.14494301994301995,0.0024928774928774933,9,1.0,1.0,1.0,0.0
