,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,3.6458884477615356,0.006681561470031738,1.1482075452804565,0.006681561470031738,0.1,0.01,"{'clf__C': 0.1, 'clf__gamma': 0.01}",0.8404558404558404,0.8497150997150997,0.8450854700854701,0.00462962962962965,4,0.9024216524216524,0.9123931623931624,0.9074074074074074,0.0049857549857549865
1,4.565667510032654,0.126595139503479,1.2279150485992432,0.07646512985229492,0.1,1.0,"{'clf__C': 0.1, 'clf__gamma': 1.0}",0.4601139601139601,0.45014245014245013,0.4551282051282051,0.0049857549857549865,11,0.8810541310541311,0.8005698005698005,0.8408119658119658,0.040242165242165284
2,6.16425633430481,0.2451004981994629,1.229286789894104,0.0072563886642456055,0.1,100.0,"{'clf__C': 0.1, 'clf__gamma': 100.0}",0.4636752136752137,0.4373219373219373,0.4504985754985755,0.013176638176638195,12,0.9024216524216524,0.8005698005698005,0.8514957264957265,0.05092592592592593
3,2.4207857847213745,5.5909156799316406e-05,0.7892289161682129,0.004068136215209961,1,0.01,"{'clf__C': 1, 'clf__gamma': 0.01}",0.9572649572649573,0.9522792022792023,0.9547720797720798,0.002492877492877521,3,0.9935897435897436,0.9928774928774928,0.9932336182336182,0.00035612535612539187
4,4.34346866607666,0.2197589874267578,1.1819062232971191,0.07139039039611816,1,1.0,"{'clf__C': 1, 'clf__gamma': 1.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
5,5.639015078544617,0.00650632381439209,1.234827995300293,0.022706985473632812,1,100.0,"{'clf__C': 1, 'clf__gamma': 100.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
6,2.5326764583587646,0.0036649703979492188,0.7836169004440308,0.02616441249847412,10,0.01,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9672364672364673,0.9622507122507122,0.9647435897435898,0.002492877492877521,1,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
7,3.7217212915420532,0.12740099430084229,0.8875377178192139,0.01653003692626953,10,1.0,"{'clf__C': 10, 'clf__gamma': 1.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
8,4.309550166130066,0.011995196342468262,0.5197937488555908,0.017813920974731445,10,100.0,"{'clf__C': 10, 'clf__gamma': 100.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
9,2.5534093379974365,0.0006148815155029297,0.7058142423629761,0.012967944145202637,100,0.01,"{'clf__C': 100, 'clf__gamma': 0.01}",0.9672364672364673,0.9622507122507122,0.9647435897435898,0.002492877492877521,1,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
10,2.9158579111099243,0.088783860206604,0.4025306701660156,0.03336977958679199,100,1.0,"{'clf__C': 100, 'clf__gamma': 1.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
11,3.3393548727035522,0.013401389122009277,0.40149056911468506,0.00871741771697998,100,100.0,"{'clf__C': 100, 'clf__gamma': 100.0}",0.6075498575498576,0.5925925925925926,0.600071225071225,0.007478632478632508,5,1.0,0.9992877492877493,0.9996438746438747,0.00035612535612533636
